name,year,bat,g,ab,h,ba,bb,dbl,dbl.pg,pg,hr,hr.pg,sb,cs,sba,sb.pg,sf,sh,tb,slg.pct,trp,trp.pg,r,r.pg,through
George Mason,2010,besr,14,517,176,0.34,62,14,31,2.21,14,1,10,5,15,0.71,10,10,257,0.497,4,0.29,130,9.3,3/21/10
Vanderbilt,2010,besr,20,700,238,0.34,97,20,52,2.6,19,0.95,36,9,45,1.8,16,12,353,0.504,3,0.15,161,8.1,3/21/10
Southeast Mo. St.,2010,besr,19,681,231,0.339,80,19,45,2.37,12,0.63,12,10,22,0.63,11,7,318,0.467,3,0.16,147,7.7,3/21/10
TCU,2010,besr,19,640,217,0.339,74,19,52,2.74,19,1,24,9,33,1.26,11,14,336,0.525,5,0.26,158,8.3,3/21/10
Virginia Tech,2010,besr,21,769,260,0.338,88,21,51,2.43,24,1.14,22,10,32,1.05,9,7,395,0.514,6,0.29,175,8.3,3/21/10
Belmont,2010,besr,20,714,241,0.338,92,20,49,2.45,19,0.95,26,11,37,1.3,17,9,359,0.503,6,0.3,170,8.5,3/21/10
Navy,2010,besr,20,703,237,0.337,79,20,37,1.85,10,0.5,37,7,44,1.85,15,8,320,0.455,8,0.4,159,8,3/21/10
East Tenn. St.,2010,besr,17,609,205,0.337,80,17,45,2.65,28,1.65,16,6,22,0.94,4,1,342,0.562,4,0.24,158,9.3,3/21/10
Tex.-Pan American,2010,besr,14,511,172,0.337,97,14,29,2.07,6,0.43,9,4,13,0.64,9,14,231,0.452,6,0.43,139,9.9,3/21/10
Kansas St.,2010,besr,18,619,208,0.336,93,18,38,2.11,14,0.78,42,12,54,2.33,11,21,300,0.485,6,0.33,155,8.6,3/21/10
Bethune-Cookman,2010,besr,21,733,246,0.336,71,21,41,1.95,35,1.67,29,10,39,1.38,5,10,412,0.562,10,0.48,172,8.2,3/21/10
Villanova,2010,besr,17,617,206,0.334,95,17,38,2.24,3,0.18,59,6,65,3.47,11,17,265,0.429,6,0.35,144,8.5,3/21/10
Bucknell,2010,besr,18,689,230,0.334,56,18,39,2.17,19,1.06,17,6,23,0.94,11,10,336,0.488,5,0.28,156,8.7,3/21/10
Texas A&M,2010,besr,19,649,216,0.333,49,19,42,2.21,14,0.74,36,15,51,1.89,5,17,318,0.49,9,0.47,130,6.8,3/21/10
Tennessee Tech,2010,besr,20,699,232,0.332,111,20,53,2.65,18,0.9,20,9,29,1,15,16,343,0.491,2,0.1,160,8,3/21/10
UNLV,2010,besr,22,832,276,0.332,89,22,51,2.32,19,0.86,15,4,19,0.68,8,15,404,0.486,10,0.45,202,9.2,3/21/10
Middle Tenn.,2010,besr,19,734,243,0.331,76,19,47,2.47,29,1.53,21,10,31,1.11,6,5,385,0.525,4,0.21,157,8.3,3/21/10
Central Conn. St.,2010,besr,8,293,97,0.331,33,8,20,2.5,3,0.38,4,2,6,0.5,3,6,136,0.464,5,0.63,57,7.1,3/21/10
Stephen F. Austin,2010,besr,18,647,214,0.331,58,18,57,3.17,21,1.17,29,9,38,1.61,9,9,342,0.529,4,0.22,151,8.4,3/21/10
Tulane,2010,besr,21,708,234,0.331,86,21,48,2.29,13,0.62,13,6,19,0.62,9,14,331,0.468,5,0.24,141,6.7,3/21/10
Norfolk St.,2010,besr,12,406,134,0.33,36,12,27,2.25,12,1,13,8,21,1.08,3,4,205,0.505,4,0.33,86,7.2,3/21/10
Southern Miss.,2010,besr,18,626,206,0.329,83,18,46,2.56,16,0.89,11,13,24,0.61,10,15,310,0.495,5,0.28,156,8.7,3/21/10
St. John's (NY),2010,besr,17,642,211,0.329,75,17,41,2.41,17,1,23,4,27,1.35,7,10,313,0.488,5,0.29,148,8.7,3/21/10
Santa Clara,2010,besr,17,624,205,0.329,66,17,38,2.24,13,0.76,16,3,19,0.94,11,13,288,0.462,3,0.18,121,7.1,3/21/10
South Dakota St.,2010,besr,16,609,200,0.328,53,16,41,2.56,22,1.38,10,5,15,0.63,10,7,317,0.521,5,0.31,137,8.6,3/21/10
Oklahoma,2010,besr,20,686,225,0.328,88,20,45,2.25,27,1.35,32,16,48,1.6,7,23,359,0.523,4,0.2,159,8,3/21/10
Louisville,2010,besr,19,668,219,0.328,85,19,49,2.58,26,1.37,32,11,43,1.68,7,10,352,0.527,3,0.16,151,7.9,3/21/10
Purdue,2010,besr,15,547,179,0.327,62,15,35,2.33,8,0.53,35,10,45,2.33,12,7,250,0.457,6,0.4,108,7.2,3/21/10
Manhattan,2010,besr,15,526,172,0.327,74,15,40,2.67,14,0.93,20,12,32,1.33,5,8,258,0.49,2,0.13,130,8.7,3/21/10
Murray St.,2010,besr,19,685,223,0.326,85,19,45,2.37,23,1.21,18,4,22,0.95,9,10,347,0.507,5,0.26,164,8.6,3/21/10
Jacksonville St.,2010,besr,19,689,224,0.325,100,19,47,2.47,23,1.21,19,2,21,1,6,6,356,0.517,8,0.42,171,9,3/21/10
Col. of Charleston,2010,besr,22,794,257,0.324,98,22,57,2.59,26,1.18,37,7,44,1.68,12,4,406,0.511,7,0.32,186,8.5,3/21/10
NYIT,2010,besr,7,272,88,0.324,18,7,12,1.71,6,0.86,9,0,9,1.29,NA,6,120,0.441,1,0.14,45,6.4,3/21/10
Western Ky.,2010,besr,21,775,249,0.321,98,21,41,1.95,28,1.33,27,4,31,1.29,15,11,394,0.508,10,0.48,201,9.6,3/21/10
Alabama,2010,besr,18,596,191,0.32,85,18,36,2,16,0.89,27,12,39,1.5,9,14,285,0.478,5,0.28,151,8.4,3/21/10
North Florida,2010,besr,21,757,242,0.32,77,21,48,2.29,27,1.29,16,8,24,0.76,11,7,379,0.501,4,0.19,168,8,3/21/10
Washington St.,2010,besr,16,560,179,0.32,47,16,40,2.5,11,0.69,20,9,29,1.25,3,6,258,0.461,3,0.19,116,7.3,3/21/10
Louisiana Tech,2010,besr,19,723,231,0.32,87,19,38,2,22,1.16,18,11,29,0.95,13,6,341,0.472,3,0.16,165,8.7,3/21/10
Cal St. Northridge,2010,besr,19,708,226,0.319,77,19,41,2.16,23,1.21,40,13,53,2.11,8,12,342,0.483,3,0.16,158,8.3,3/21/10
Bowling Green,2010,besr,14,489,156,0.319,46,14,26,1.86,11,0.79,20,8,28,1.43,9,10,233,0.476,9,0.64,105,7.5,3/21/10
Indiana St.,2010,besr,17,605,193,0.319,58,17,37,2.18,7,0.41,37,5,42,2.18,19,9,273,0.451,11,0.65,130,7.6,3/21/10
